freq : 916.66 MHz
SWR : 7.33
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
175  40  -11.39        0.07           89.51 
180  40  -45.11        0.00           177.64 
0  45  -45.11        0.00           2.36 
5  45  -11.36        0.07           87.17 
10  45  -5.46        0.28           86.42 
15  45  -2.15        0.61           84.55 
20  45  0.09        1.02           81.92 
25  45  1.63        1.46           78.75 
30  45  2.50        1.78           75.06 
35  45  2.97        1.98           70.82 
40  45  2.83        1.92           65.80 
45  45  2.21        1.66           60.19 
50  45  1.41        1.38           55.93 
55  45  -1.22        0.76           47.54 
60  45  -2.50        0.56           42.51 
65  45  -3.95        0.40           43.62 
70  45  -4.40        0.36           53.07 
75  45  -3.28        0.47           65.78 
80  45  -1.46        0.71           74.44 
85  45  -0.07        0.98           78.55 
90  45  0.42        1.10           79.72 
95  45  -0.08        0.98           78.63 
100  45  -1.47        0.71           74.63 
105  45  -3.30        0.47           66.07 
110  45  -4.44        0.36           53.42 
115  45  -3.99        0.40           43.95 
120  45  -2.54        0.56           42.82 
125  45  -1.25        0.75           47.85 
130  45  1.39        1.38           56.21 
135  45  2.20        1.66           60.47 
140  45  2.81        1.91           66.10 
145  45  2.96        1.98           71.15 
150  45  2.49        1.77           75.45 
155  45  1.61        1.45           79.21 
160  45  0.07        1.02           82.50 
165  45  -2.17        0.61           85.33 
170  45  -5.48        0.28           87.60 
175  45  -11.39        0.07           89.51 
180  45  -45.11        0.00           177.64 
0  50  -45.11        0.00           2.36 
5  50  -11.36        0.07           87.17 
10  50  -5.46        0.28           86.42 
15  50  -2.15        0.61           84.55 
20  50  0.09        1.02           81.92 
25  50  1.63        1.46           78.75 
30  50  2.50        1.78           75.06 
35  50  2.97        1.98           70.82 
40  50  2.83        1.92           65.80 
45  50  2.21        1.66           60.19 
50  50  1.41        1.38           55.93 
55  50  -1.22        0.76           47.54 
60  50  -2.50        0.56           42.51 
65  50  -3.95        0.40           43.62 
70  50  -4.40        0.36           53.07 
75  50  -3.28        0.47           65.78 
80  50  -1.46        0.71           74.44 
85  50  -0.07        0.98           78.55 
90  50  0.42        1.10           79.72 
95  50  -0.08        0.98           78.63 
100  50  -1.47        0.71           74.63 
105  50  -3.30        0.47           66.07 
110  50  -4.44        0.36           53.42 
115  50  -3.99        0.40           43.95 
120  50  -2.54        0.56           42.82 
125  50  -1.25        0.75           47.85 
130  50  1.39        1.38           56.21 
135  50  2.20        1.66           60.47 
140  50  2.81        1.91           66.10 
145  50  2.96        1.98           71.15 
150  50  2.49        1.77           75.45 
155  50  1.61        1.45           79.21 
160  50  0.07        1.02           82.50 
165  50  -2.17        0.61           85.33 
170  50  -5.48        0.28           87.60 
175  50  -11.39        0.07           89.51 
180  50  -45.11        0.00           177.64 
0  55  -45.11        0.00           2.36 
5  55  -11.36        0.07           87.17 
10  55  -5.46        0.28           86.42 
15  55  -2.15        0.61           84.55 
20  55  0.09        1.02           81.92 
25  55  1.63        1.46           78.75 
30  55  2.50        1.78           75.06 
35  55  2.97        1.98           70.82 
40  55  2.83        1.92           65.80 
45  55  2.21        1.66           60.19 
50  55  1.41        1.38           55.93 
55  55  -1.22        0.76           47.54 
60  55  -2.50        0.56           42.51 
65  55  -3.95        0.40           43.62 
70  55  -4.40        0.36           53.07 
75  55  -3.28        0.47           65.78 
80  55  -1.46        0.71           74.44 
85  55  -0.07        0.98           78.55 
90  55  0.42        1.10           79.72 
95  55  -0.08        0.98           78.63 
100  55  -1.47        0.71           74.63 
105  55  -3.30        0.47           66.07 
110  55  -4.44        0.36           53.42 
115  55  -3.99        0.40           43.95 
120  55  -2.54        0.56           42.82 
125  55  -1.25        0.75           47.85 
130  55  1.39        1.38           56.21 
135  55  2.20        1.66           60.47 
140  55  2.81        1.91           66.10 
145  55  2.96        1.98           71.15 
150  55  2.49        1.77           75.45 
155  55  1.61        1.45           79.21 
160  55  0.07        1.02           82.50 
165  55  -2.17        0.61           85.33 
170  55  -5.48        0.28           87.60 
175  55  -11.39        0.07           89.51 
180  55  -45.11        0.00           177.64 
0  60  -45.11        0.00           2.36 
5  60  -11.36        0.07           87.17 
10  60  -5.46        0.28           86.42 
15  60  -2.15        0.61           84.55 
20  60  0.09        1.02           81.92 
25  60  1.63        1.46           78.75 
30  60  2.50        1.78           75.06 
35  60  2.97        1.98           70.82 
40  60  2.83        1.92           65.80 
45  60  2.21        1.66           60.19 
50  60  1.41        1.38           55.93 
55  60  -1.22        0.76           47.54 
60  60  -2.50        0.56           42.51 
65  60  -3.95        0.40           43.62 
70  60  -4.40        0.36           53.07 
75  60  -3.28        0.47           65.78 
80  60  -1.46        0.71           74.44 
85  60  -0.07        0.98           78.55 
90  60  0.42        1.10           79.72 
95  60  -0.08        0.98           78.63 
100  60  -1.47        0.71           74.63 
105  60  -3.30        0.47           66.07 
110  60  -4.44        0.36           53.42 
115  60  -3.99        0.40           43.95 
120  60  -2.54        0.56           42.82 
125  60  -1.25        0.75           47.85 
130  60  1.39        1.38           56.21 
135  60  2.20        1.66           60.47 
140  60  2.81        1.91           66.10 
145  60  2.96        1.98           71.15 
150  60  2.49        1.77           75.45 
155  60  1.61        1.45           79.21 
160  60  0.07        1.02           82.50 
165  60  -2.17        0.61           85.33 
170  60  -5.48        0.28           87.60 
175  60  -11.39        0.07           89.51 
180  60  -45.11        0.00           177.64 
0  65  -45.11        0.00           2.36 
5  65  -11.36        0.07           87.17 
10  65  -5.46        0.28           86.42 
15  65  -2.15        0.61           84.55 
20  65  0.09        1.02           81.92 
25  65  1.63        1.46           78.75 
30  65  2.50        1.78           75.06 
35  65  2.97        1.98           70.82 
40  65  2.83        1.92           65.80 
45  65  2.21        1.66           60.19 
50  65  1.41        1.38           55.93 
55  65  -1.22        0.76           47.54 
60  65  -2.50        0.56           42.51 
65  65  -3.95        0.40           43.62 
70  65  -4.40        0.36           53.07 
75  65  -3.28        0.47           65.78 
80  65  -1.46        0.71           74.44 
85  65  -0.07        0.98           78.55 
90  65  0.42        1.10           79.72 
95  65  -0.08        0.98           78.63 
100  65  -1.47        0.71           74.63 
105  65  -3.30        0.47           66.07 
110  65  -4.44        0.36           53.42 
115  65  -3.99        0.40           43.95 
120  65  -2.54        0.56           42.82 
125  65  -1.25        0.75           47.85 
130  65  1.39        1.38           56.21 
135  65  2.20        1.66           60.47 
140  65  2.81        1.91           66.10 
145  65  2.96        1.98           71.15 
150  65  2.49        1.77           75.45 
155  65  1.61        1.45           79.21 
160  65  0.07        1.02           82.50 
165  65  -2.17        0.61           85.33 
170  65  -5.48        0.28           87.60 
175  65  -11.39        0.07           89.51 
180  65  -45.11        0.00           177.64 
0  70  -45.11        0.00           2.36 
5  70  -11.36        0.07           87.17 
10  70  -5.46        0.28           86.42 
15  70  -2.15        0.61           84.55 
20  70  0.09        1.02           81.92 
25  70  1.63        1.46           78.75 
30  70  2.50        1.78           75.06 
35  70  2.97        1.98           70.82 
40  70  2.83        1.92           65.80 
45  70  2.21        1.66           60.19 
50  70  1.41        1.38           55.93 
55  70  -1.22        0.76           47.54 
60  70  -2.50        0.56           42.51 
65  70  -3.95        0.40           43.62 
70  70  -4.40        0.36           53.07 
75  70  -3.28        0.47           65.78 
80  70  -1.46        0.71           74.44 
85  70  -0.07        0.98           78.55 
90  70  0.42        1.10           79.72 
95  70  -0.08        0.98           78.63 
100  70  -1.47        0.71           74.63 
105  70  -3.30        0.47           66.07 
110  70  -4.44        0.36           53.42 
115  70  -3.99        0.40           43.95 
120  70  -2.54        0.56           42.82 
125  70  -1.25        0.75           47.85 
130  70  1.39        1.38           56.21 
135  70  2.20        1.66           60.47 
140  70  2.81        1.91           66.10 
145  70  2.96        1.98           71.15 
150  70  2.49        1.77           75.45 
155  70  1.61        1.45           79.21 
160  70  0.07        1.02           82.50 
165  70  -2.17        0.61           85.33 
170  70  -5.48        0.28           87.60 
175  70  -11.39        0.07           89.51 
180  70  -45.11        0.00           177.64 
0  75  -45.11        0.00           2.36 
5  75  -11.36        0.07           87.17 
10  75  -5.46        0.28           86.42 
15  75  -2.15        0.61           84.55 
20  75  0.09        1.02           81.92 
25  75  1.63        1.46           78.75 
30  75  2.50        1.78           75.06 
35  75  2.97        1.98           70.82 
40  75  2.83        1.92           65.80 
45  75  2.21        1.66           60.19 
50  75  1.41        1.38           55.93 
55  75  -1.22        0.76           47.54 
60  75  -2.50        0.56           42.51 
65  75  -3.95        0.40           43.62 
70  75  -4.40        0.36           53.07 
75  75  -3.28        0.47           65.78 
